prompt type,score,response
doc_SQM,90,"90. The machine translation accurately conveys the meaning of the source text and is mostly fluent, with only minor differences in word choice and sentence structure."
doc_SQM,90,"90. The machine translation is mostly fluent and preserves most of the meaning of the source text. There are some minor differences in wording and phrasing, but the overall message is conveyed accurately."
doc_SQM,90,"90. 

The machine translation preserves most of the meaning and is mostly fluent. There are some minor differences in wording, but the overall message is conveyed accurately."
doc_SQM,90,90. The machine translation preserves most of the meaning and is mostly fluent. There are only minor differences in word choice and sentence structure compared to the human reference.
doc_SQM,90,"90. 

The machine translation preserves most of the meaning and is mostly fluent. There are some minor differences in wording and sentence structure, but overall the translation accurately conveys the intended message."
doc_SQM,90,"90. The machine translation preserves most of the meaning and is mostly fluent, with only minor differences from the human reference."
doc_SQM,90,"90. The machine translation preserves most of the meaning and is mostly fluent, with only minor differences in wording and sentence structure compared to the human reference."
doc_SQM,90,"90. The machine translation accurately conveys the meaning of the source text and uses appropriate terminology. However, there is a minor error in the translation of ""questioning warrant"" as ""Verhörbefehl"" instead of ""Vernehmungsbefehl"". The translation is mostly fluent and grammatically correct."
doc_SQM,90,"90. 

The machine translation is very close to the human reference, with only minor differences in word choice and sentence structure. The meaning is preserved and the translation is mostly fluent, with only a few small errors in grammar and word usage."
doc_SQM,90,"90. The machine translation preserves most of the meaning and is mostly fluent, with only minor differences in wording and sentence structure compared to the human reference."
doc_SQM,90,"90. 

The machine translation preserves most of the meaning and is mostly fluent. There are only minor differences in word choice and sentence structure compared to the human reference."
doc_SQM,90,"90. 

The machine translation accurately conveys the meaning of the source text and is mostly fluent. There are some minor differences in wording and phrasing, but they do not significantly affect the overall meaning of the sentence."
doc_SQM,85,"85. 

The machine translation preserves most of the meaning and is mostly fluent, but there are a few minor errors in word choice and grammar. For example, ""zusammentat"" should be ""anschloss"" and ""Mitglieder der Legislativversammlung"" should be ""MLAs""."
doc_SQM,90,90. The machine translation preserves most of the meaning and is mostly fluent. There are only minor differences in wording and grammar compared to the human reference.
doc_SQM,90,"90. The machine translation preserves most of the meaning and is mostly fluent, with only minor differences in wording compared to the human reference."
